x,income,type,age
700,,sponsorAge,30
8771,,alienAge,16
3777,8.00E+05,sponsorAge,37
11848,8.00E+05,alienAge,25
2097,696000,sponsorAge,61
10168,696000,alienAge,23
3931,563984.28,sponsorAge,57
12002,563984.28,alienAge,50
1980,498222,sponsorAge,59
10051,498222,alienAge,20
4968,449500,sponsorAge,43
13039,449500,alienAge,28
2335,422211.07,sponsorAge,32
10406,422211.07,alienAge,28
3481,350000,sponsorAge,44
6044,350000,sponsorAge,53
11552,350000,alienAge,29
14115,350000,alienAge,39
5461,337556,sponsorAge,34
13532,337556,alienAge,26
3899,323935,sponsorAge,58
11970,323935,alienAge,30
5214,321562,sponsorAge,42
13285,321562,alienAge,32
1024,305000,sponsorAge,47
9095,305000,alienAge,30
4422,3.00E+05,sponsorAge,49
12493,3.00E+05,alienAge,26
4124,299000,sponsorAge,47
12195,299000,alienAge,48
5283,285820,sponsorAge,45
13354,285820,alienAge,39
1431,283752,sponsorAge,60
9502,283752,alienAge,28
4572,275751,sponsorAge,44
12643,275751,alienAge,21
4056,275000,sponsorAge,23
12127,275000,alienAge,25
454,254000,sponsorAge,58
8525,254000,alienAge,37
2735,250000,sponsorAge,53
4883,250000,sponsorAge,47
10806,250000,alienAge,26
12954,250000,alienAge,44
5437,247000,sponsorAge,55
13508,247000,alienAge,29
5989,240000,sponsorAge,32
14060,240000,alienAge,27
1755,236338,sponsorAge,47
9826,236338,alienAge,40
783,221354,sponsorAge,61
2169,221354,sponsorAge,62
8854,221354,alienAge,32
10240,221354,alienAge,41
3771,221000,sponsorAge,25
11842,221000,alienAge,24
3552,218500,sponsorAge,30
11623,218500,alienAge,30
3607,216000,sponsorAge,63
11678,216000,alienAge,26
3154,213469,sponsorAge,60
11225,213469,alienAge,45
5135,213000,sponsorAge,53
13206,213000,alienAge,29
1864,211000,sponsorAge,52
9935,211000,alienAge,23
5082,210765.2,sponsorAge,46
13153,210765.2,alienAge,41
5817,209655,sponsorAge,53
13888,209655,alienAge,34
3965,209300,sponsorAge,44
12036,209300,alienAge,31
6683,207014,sponsorAge,43
14754,207014,alienAge,33
2640,206696,sponsorAge,50
10711,206696,alienAge,20
1646,205000,sponsorAge,53
9717,205000,alienAge,36
2740,201450,sponsorAge,42
10811,201450,alienAge,27
511,2.00E+05,sponsorAge,52
1606,2.00E+05,sponsorAge,46
2099,2.00E+05,sponsorAge,58
2875,2.00E+05,sponsorAge,63
3080,2.00E+05,sponsorAge,36
3662,2.00E+05,sponsorAge,56
3826,2.00E+05,sponsorAge,50
4321,2.00E+05,sponsorAge,40
6351,2.00E+05,sponsorAge,54
8582,2.00E+05,alienAge,24
9677,2.00E+05,alienAge,32
10170,2.00E+05,alienAge,30
10946,2.00E+05,alienAge,22
11151,2.00E+05,alienAge,29
11733,2.00E+05,alienAge,44
11897,2.00E+05,alienAge,45
12392,2.00E+05,alienAge,28
14422,2.00E+05,alienAge,29
3814,199000,sponsorAge,40
11885,199000,alienAge,25
5870,197220,sponsorAge,45
13941,197220,alienAge,24
1354,195000,sponsorAge,52
9425,195000,alienAge,38
1458,192000,sponsorAge,57
9529,192000,alienAge,28
1478,191967,sponsorAge,57
9549,191967,alienAge,24
6494,190000,sponsorAge,43
14565,190000,alienAge,24
4806,188928,sponsorAge,42
12877,188928,alienAge,29
1114,188453,sponsorAge,37
9185,188453,alienAge,22
1781,187591,sponsorAge,52
9852,187591,alienAge,36
2134,187494,sponsorAge,52
10205,187494,alienAge,34
3569,186500,sponsorAge,53
11640,186500,alienAge,38
1134,185000,sponsorAge,31
6956,185000,sponsorAge,53
9205,185000,alienAge,28
15027,185000,alienAge,31
5044,184000,sponsorAge,53
13115,184000,alienAge,29
890,182400,sponsorAge,45
8961,182400,alienAge,31
2292,180000,sponsorAge,64
2299,180000,sponsorAge,30
3047,180000,sponsorAge,65
3901,180000,sponsorAge,46
5519,180000,sponsorAge,56
10363,180000,alienAge,23
10370,180000,alienAge,26
11118,180000,alienAge,35
11972,180000,alienAge,31
13590,180000,alienAge,29
2480,178000,sponsorAge,66
10551,178000,alienAge,41
805,175000,sponsorAge,51
1274,175000,sponsorAge,65
1494,175000,sponsorAge,43
5981,175000,sponsorAge,54
8876,175000,alienAge,44
9345,175000,alienAge,33
9565,175000,alienAge,30
14052,175000,alienAge,30
5428,172685,sponsorAge,75
13499,172685,alienAge,59
5819,172354,sponsorAge,48
13890,172354,alienAge,28
1068,170000,sponsorAge,61
5424,170000,sponsorAge,67
5652,170000,sponsorAge,64
6879,170000,sponsorAge,36
9139,170000,alienAge,35
13495,170000,alienAge,42
13723,170000,alienAge,40
14950,170000,alienAge,26
6990,167629.3,sponsorAge,45
15061,167629.3,alienAge,35
7306,167000,sponsorAge,45
15377,167000,alienAge,28
5953,166039,sponsorAge,66
14024,166039,alienAge,43
1364,165000,sponsorAge,69
1909,165000,sponsorAge,61
6389,165000,sponsorAge,60
9435,165000,alienAge,31
9980,165000,alienAge,31
14460,165000,alienAge,32
1104,164000,sponsorAge,38
9175,164000,alienAge,26
2093,163351,sponsorAge,44
10164,163351,alienAge,39
7251,160800,sponsorAge,48
15322,160800,alienAge,39
732,160127,sponsorAge,48
8803,160127,alienAge,26
873,160000,sponsorAge,61
1083,160000,sponsorAge,48
2233,160000,sponsorAge,49
3119,160000,sponsorAge,49
8944,160000,alienAge,26
9154,160000,alienAge,27
10304,160000,alienAge,24
11190,160000,alienAge,24
7433,159412,sponsorAge,40
15504,159412,alienAge,36
2256,159326,sponsorAge,49
10327,159326,alienAge,36
5134,159292,sponsorAge,54
13205,159292,alienAge,47
5160,159000,sponsorAge,45
13231,159000,alienAge,27
3864,158124.3,sponsorAge,40
11935,158124.3,alienAge,29
3004,157240,sponsorAge,59
11075,157240,alienAge,51
4681,155000,sponsorAge,47
5640,155000,sponsorAge,63
12752,155000,alienAge,35
13711,155000,alienAge,37
2936,154450,sponsorAge,60
11007,154450,alienAge,28
2847,154357,sponsorAge,52
10918,154357,alienAge,26
3895,154250,sponsorAge,52
11966,154250,alienAge,22
3629,153750,sponsorAge,58
11700,153750,alienAge,28
4746,152939,sponsorAge,54
12817,152939,alienAge,41
4778,152918,sponsorAge,46
12849,152918,alienAge,19
5577,151552,sponsorAge,55
13648,151552,alienAge,32
