id,value
9-1-1 Dispatcher,3
Administrator,3
Aircraft Technician,3
Apprentice,3
Army Officer,3
Artist,3
Assistant Professor,3
Aviation Technician,3
Banker,3
Banquet Server,3
Barber,3
Building Maintenance,3
Care Provider,3
Carrier,3
Case Manager,3
CDL Truck Driver,3
Ceo,3
Certified Nurse Assist,3
Certified Nursing Assi,3
Chemical Operator,3
City Carrier Assistant,3
Cleaner,3
CNC Operator,3
Computer Operator,3
Computer Tech,3
Construction Worker,3
Controls Engineer,3
Controls Technician,3
Correction Officer,3
CPA,3
Customer Care,3
Customer Service Rep.,3
Data Analyst,3
Dealer,3
Deckhand,3
Design Engineer,3
Designer,3
Directional Driller,3
Director Of Sales,3
DJ,3
Dock Worker,3
Electrical Technician,3
Electronic Technician,3
Facility Supervisor,3
Field Supervisor,3
Flooring Installer,3
Hairdresser,3
Helper,3
HVAC Technician,3
Insurance Adjuster,3
Interpreter,3
IT,3
IT Support,3
Java Developer,3
Landscape Designer,3
Landscaper,3
Lawyer,3
Lead Cook,3
Legal Assistant,3
Locomotive Engineer,3
Logistics Analyst,3
Logistics Manager,3
LVN,3
Maintenance Tech,3
Maintenance Worker,3
Managing Director,3
Marine Electrician,3
Marine Engineer,3
Marketing,3
Medical Doctor,3
Medical Technologist,3
Mental Health Tech,3
Mental Health Therapis,3
Na,3
Nurse Practitioner,3
Nursing Assistant,3
Office Assistant,3
Online English Teacher,3
Operations Specialist,3
Order Selector,3
OTR Driver,3
OWNER,3
Packing,3
Painting Contractor,3
Personal Banker,3
Poker Dealer,3
Porter,3
Postal Clerk,3
Press Operator,3
Principal Engineer,3
Probation Officer,3
Process Technician,3
Producer,3
Production Associate,3
Professor,3
Quality Manager,3
Real Estate Appraiser,3
Regional Manager,3
Rigger,3
Sales Specialist,3
Sanitation,3
Scientist,3
Secretary,3
Security Engineer,3
Semi Truck Driver,3
Senior Director,3
Senior Pastor,3
Service Tech,3
Shift Lead,3
Shift Leader,3
Shift Supervisor,3
Shipfitter,3
Social Worker,3
Sr. Software Engineer,3
Stationary Engineer,3
Subcontractor,3
Supply Chain,3
Table Games Dealer,3
Technical Support,3
Technical Writer,3
Tow Truck Driver,3
Transport Driver,3
Warehouse Clerk,3
Air Traffic Controller,4
Analyst,4
Assembly,4
Assistant,4
Associate,4
Associate Professor,4
Blackjack Supervisor,4
Brand Manager,4
Bus Operator,4
Business Analyst,4
Captain,4
CDL Driver,4
Chiropractor,4
Commercial Driver,4
Company Driver,4
Computer Programmer,4
Computer Technician,4
Construction,4
Construction Manager,4
Crew,4
Delivery,4
Electronics Technician,4
EMT,4
Engineering Manager,4
Facility Manager,4
Field Engineer,4
Field Service Tech,4
Financial Analyst,4
Fleet Service Clerk,4
Food Service Worker,4
Funeral Director,4
Handyman,4
Heavy Equipment Operat,4
Home Health Aid,4
Homemaker,4
Inside Sales,4
Inspector,4
IT Manager,4
Kitchen Manager,4
Loan Officer,4
Logistics Specialist,4
Manufacturing Engineer,4
Meat Cutter,4
MRI Technologist,4
Nanny,4
Network Administrator,4
OTR Truck Driver,4
Owner/President,4
Paralegal,4
Paraprofessional,4
Pharmacy Tech,4
Photographer,4
Production Manager,4
Production Supervisor,4
Project Engineer,4
Real Estate Investor,4
Receptionist,4
Sales Supervisor,4
School Bus Driver,4
