state,name,value
01,Alabama,4.432
02,Alaska,20.580
05,Arkansas,5.037
04,Arizona,8.296
06,California,16.192
08,Colorado,8.626
09,Connecticut,9.486
10,Delaware,7.947
11,District of Columbia,32.719
12,Florida,15.504
13,Georgia,9.086
15,Hawaii,29.613
19,Iowa,6.350
16,Idaho,8.507
17,Illinois,10.082
18,Indiana,5.654
20,Kansas,6.129
21,Kentucky,4.023
22,Louisiana,6.711
23,Maine,6.089
24,Maryland,12.341
25,Massachusetts,15.303
26,Michigan,8.321
27,Minnesota,11.382
29,Missouri,5.744
28,Mississippi,3.147
30,Montana,7.185
37,North Carolina,6.346
38,North Dakota,11.670
31,Nebraska,11.668
33,New Hampshire,7.358
34,New Jersey,12.131
35,New Mexico,5.084
32,Nevada,17.7648
36,New York,16.385
39,Ohio,5.969
40,Oklahoma,5.415
41,Oregon,11.751
42,Pennsylvania,6.622
44,Rhode Island,0
45,South Carolina,4.9453
46,South Dakota,7.364
47,Tennessee,6.002
48,Texas,9.741
49,Utah,10.320
51,Virginia,11.164
50,Vermont,8.645
53,Washington,19.065
55,Wisconsin,7.634
54,West Virginia,2.722
56,Wyoming,7.7160
