name,id,region,region-code,value
Afghanistan,004,Asia,142,237
Aland Islands,248,Europe,150,0
Albania,008,Europe,150,170
Algeria,012,Africa,2,56
American Samoa,016,Oceania,9,0
Andorra,020,Europe,150,0
Angola,024,Africa,2,3
Anguilla,660,Americas,19,0
Antarctica,010,NA,NA,0
Antigua and Barbuda,028,Americas,19,5
Argentina,032,Americas,19,100
Armenia,051,Asia,142,202
Aruba,533,Americas,19,0
Australia,036,Oceania,9,339
Austria,040,Europe,150,30
Azerbaijan,031,Asia,142,17
Bahamas,044,Americas,19,16
Bahrain,048,Asia,142,0
Bangladesh,050,Asia,142,14
Barbados,052,Americas,19,6
Belarus,112,Europe,150,91
Belgium,056,Europe,150,47
Belize,084,Americas,19,12
Benin,204,Africa,2,15
Bermuda,060,Americas,19,0
Bhutan,064,Asia,142,5
Bolivia,068,Americas,19,37
Bonaire, Sint Eustatius and Saba,535,Americas,19,0
Bosnia and Herzegovina,070,Europe,150,158
Botswana,072,Africa,2,0
Bouvet Island,074,Americas,19,0
Brazil,076,Americas,19,875
British Indian Ocean Territory,086,Africa,2,0
Brunei Darussalam,096,Asia,142,0
Bulgaria,100,Europe,150,79
Burkina Faso,854,Africa,2,14
Burundi,108,Africa,2,8
Cabo Verde,132,Africa,2,76
Cambodia,116,Asia,142,487
Cameroon,120,Africa,2,171
Canada,124,Americas,19,868
Cayman Islands,136,Americas,19,0
Central African Republic,140,Africa,2,0
Chad,148,Africa,2,0
Chile,152,Americas,19,85
China,156,Asia,142,1189
Christmas Island,162,Oceania,9,0
Cocos (Keeling) Islands,166,Oceania,9,0
Colombia,170,Americas,19,970
Comoros,174,Africa,2,0
Congo,178,Africa,2,5
"Congo, Democratic Republic",180,Africa,2,20
Cook Islands,184,Oceania,9,0
Costa Rica,188,Americas,19,98
Cote d'Ivoire,384,Africa,2,50
Croatia,191,Europe,150,36
Cuba,192,Americas,19,307
Curacao,531,Americas,19,0
Cyprus,196,Asia,142,4
Czechia,203,Europe,150,41
Denmark,208,Europe,150,26
Djibouti,262,Africa,2,0
Dominica,212,Americas,19,13
Dominican Republic,214,Americas,19,1678
Ecuador,218,Americas,19,233
Egypt,818,Africa,2,266
El Salvador,222,Americas,19,298
Equatorial Guinea,226,Africa,2,0
Eritrea,232,Africa,2,71
Estonia,233,Europe,150,18
Eswatini,748,Africa,2,0
Ethiopia,231,Africa,2,397
Falkland Islands (Malvinas),238,Americas,19,0
Faroe Islands,234,Europe,150,0
Fiji,242,Oceania,9,25
Finland,246,Europe,150,41
France,250,Europe,150,269
French Guiana,254,Americas,19,0
French Polynesia,258,Oceania,9,0
French Southern Territories,260,Africa,2,0
Gabon,266,Africa,2,0
Gambia,270,Africa,2,35
Georgia,268,Asia,142,31
Germany,276,Europe,150,304
Ghana,288,Africa,2,237
Gibraltar,292,Europe,150,0
Greece,300,Europe,150,35
Greenland,304,Americas,19,0
Grenada,308,Americas,19,12
Guadeloupe,312,Americas,19,0
Guam,316,Oceania,9,0
Guatemala,320,Americas,19,159
Guernsey,831,Europe,150,0
Guinea,324,Africa,2,42
Guinea-Bissau,624,Africa,2,0
Guyana,328,Americas,19,61
Haiti,332,Americas,19,933
Heard Island and McDonald Islands,334,Oceania,9,0
Holy See,336,Europe,150,0
Honduras,340,Americas,19,262
Hong Kong,344,Asia,142,0
Hungary,348,Europe,150,39
Iceland,352,Europe,150,4
India,356,Asia,142,791
Indonesia,360,Asia,142,213
Iran,364,Asia,142,333
Iraq,368,Asia,142,231
Ireland,372,Europe,150,115
Isle of Man,833,Europe,150,0
Israel,376,Asia,142,46
